"STATION","NAME","DATE","CDSD","CLDD","DT00","DT32","DX32","DX70","DX90","EMNT","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"IDM00096015","MEULABOH CUT NYAK, ID","2022-10",,,,,"0","29","1",,"90",,,,,"86.9",
"IDM00096179","DABO, ID","2022-01",,"472","0","0","0","31","14","72","93","0","0",,"81.8","89.5","74.1"
"IDM00096179","DABO, ID","2022-02",,"395","0","0","0","28","9","72","92","0","0",,"81.6","88.6","74.5"
"IDM00096179","DABO, ID","2022-03",,"444","0","0","0","31","13","72","93","0","0",,"82.0","89.8","74.2"
"IDM00096179","DABO, ID","2022-04",,,,,"0","29","10",,"92",,,,,"88.9",
"IDM00096179","DABO, ID","2022-05",,,,,"0","30","16",,"93",,,,,"89.7",
"IDM00096179","DABO, ID","2022-06",,,,,"0","30","2",,"90",,,,,"86.3",
"IDM00096179","DABO, ID","2022-07",,,,,"0","31","4",,"91",,,,,"88.4",
"IDM00096179","DABO, ID","2022-08",,,,,"0","31","6",,"91",,,,,"87.6",
"IDM00096179","DABO, ID","2022-09",,,,,"0","30","1",,"90",,,,,"87.1",
"IDM00096179","DABO, ID","2022-10",,,,,"0","30","2",,"90",,,,,"87.4",
"IDM00097700","NAMLEA BURU ISLAND, ID","2022-01",,,,,"0","27","1",,"90",,,,,"87.3",
"IDM00097700","NAMLEA BURU ISLAND, ID","2022-02",,,,,"0","24","0",,"89",,,,,"86.9",
"IDM00097700","NAMLEA BURU ISLAND, ID","2022-04",,,,,"0","27","3",,"91",,,,,"88.3",
"IDM00097700","NAMLEA BURU ISLAND, ID","2022-05",,,,,"0","29","4",,"93",,,,,"88.8",
